Class,Property,Property value type,Doc (short),units,remarks,is_settable,is_single_settable,is_single_numeric,Doc (long)
SPMT,n_width,int,number of axles in transverse direction ,[-],,True,True,True,number of axles in transverse direction [-]
SPMT,n_length,int,number of axles in length direction ,[-],,True,True,True,number of axles in length direction [-]
SPMT,spacing_width,float,distance between axles in transverse direction ,[m],,True,True,True,distance between axles in transverse direction [m]
SPMT,spacing_length,float,distance between axles in length direction ,[m],,True,True,True,distance between axles in length direction [m]
SPMT,reference_force,float,total force (sum of all axles) when at reference extension ,[kN],,True,True,True,total force (sum of all axles) when at reference extension [kN]
SPMT,reference_extension,float,Distance between top of SPMT and bottom of wheel at which compression is zero ,[m],,True,True,True,Distance between top of SPMT and bottom of wheel at which compression is zero [m]
SPMT,k,float,Vertical stiffness of all axles together ,[kN/m],,True,True,True,Vertical stiffness of all axles together [kN/m]
SPMT,use_friction,bool,Apply friction between wheel and surface such that resulting force is vertical ,[True/False],,True,True,False,"Apply friction between wheel and surface such that resulting force is vertical [True/False]
        False: Force is perpendicular to the surface
        True: Force is vertical
        "
SPMT,meshes,tuple,List of contact-mesh nodes. If empty list then the SPMT can contact all contact meshes.,,,True,False,False,"List of contact-mesh nodes. If empty list then the SPMT can contact all contact meshes.
        When getting this will yield a list of node references.
        When setting node references and node-names may be used.

        eg: ball.meshes = [mesh1, 'mesh2']
        "
SPMT,meshes_names,tuple,List with the names of the meshes,,,False,False,False,List with the names of the meshes
SPMT,axles,tuple,Axles is a list axle positions  ,"[m,m,m]",parent axis,True,False,False,"Axles is a list axle positions [m,m,m] (parent axis)
        Each entry is a (x,y,z) entry which determines the location of the axle on SPMT. This is relative to the parent of the SPMT.

        Example:
            [(-10,0,0),(-5,0,0),(0,0,0)] for three axles
        "
Shackle,kind,str,"Type of shackle, for example GP800 ",[text],,True,False,False,"Type of shackle, for example GP800 [text]"
Shackle,name,str,"Name of the node (str), must be unique",,,True,False,False,"Name of the node (str), must be unique"
Sling,name,str,"Name of the node (str), must be unique",,,True,False,False,"Name of the node (str), must be unique"
Sling,k_total,float,Total stiffness of the sling ,[kN/m],,True,True,True,Total stiffness of the sling [kN/m]
Sling,length,float,Total length measured between the INSIDE of the eyes of the sling is pulled straight. ,[m],,True,True,True,Total length measured between the INSIDE of the eyes of the sling is pulled straight. [m]
Sling,LeyeA,float,Total length inside eye A if stretched flat ,[m],,True,True,True,Total length inside eye A if stretched flat [m]
Sling,LeyeB,float,Total length inside eye B if stretched flat ,[m],,True,True,True,Total length inside eye B if stretched flat [m]
Sling,LspliceA,float,Length of the splice at end A ,[m],,True,True,True,Length of the splice at end A [m]
Sling,LspliceB,float,Length of the splice at end B ,[m],,True,True,True,Length of the splice at end B [m]
Sling,diameter,float,Diameter of the sling  ,[m],except the splices,True,True,True,Diameter of the sling (except the splices) [m]
Sling,EA,float,EA of the wire of the sling ,[kN],,True,True,True,"EA of the wire of the sling [kN]
        See also: k_total"
Sling,mass,float,Mass and weight of the sling. This mass is distributed over the two splices ,[mT],,True,True,True,Mass and weight of the sling. This mass is distributed over the two splices [mT]
Tank,free_flooding,bool,Tank is filled till global waterline  ,[bool],aka: damaged,True,True,False,Tank is filled till global waterline (aka: damaged) [bool]
Tank,permeability,float,Permeability is the fraction of the enclosed volume that can be filled with fluid ,[-],,True,True,True,Permeability is the fraction of the enclosed volume that can be filled with fluid [-]
Tank,cog,tuple,Global position of the center of volume / gravity  ,"[m,m,m]",global,False,False,False,"Global position of the center of volume / gravity [m,m,m] (global)"
Tank,cog_local,tuple,Center of gravity  ,"[m,m,m]",parent axis,False,False,False,"Center of gravity [m,m,m] (parent axis)"
Tank,cog_when_full,tuple,LOCAL position of the center of volume / gravity of the tank when it is filled  ,"[m,m,m]",parent axis,False,False,False,"LOCAL position of the center of volume / gravity of the tank when it is filled [m,m,m] (parent axis)"
Tank,fill_pct,float,Amount of volume in tank as percentage of capacity ,[%],,True,True,True,Amount of volume in tank as percentage of capacity [%]
Tank,level_global,float,The fluid plane elevation in the global axis system ,[m],,True,True,True,"The fluid plane elevation in the global axis system [m]
        Setting this adjusts the volume"
Tank,volume,float,The actual volume of fluid in the tank ,[m3],,True,True,True,"The actual volume of fluid in the tank [m3]
        Setting this adjusts the fluid level"
Tank,density,float,Density of the fluid in the tank ,[mT/m3],,True,True,True,Density of the fluid in the tank [mT/m3]
Tank,capacity,float,Capacity of the tank ,[m3],,False,False,True,"Capacity of the tank [m3]
        This is calculated from the defined geometry and permeability."
Tank,ullage,float,Ullage of the tank ,[m],,False,False,True,"Ullage of the tank [m]
        The ullage is the distance between a measurement point and the fluid surface. The point is [xf,yf,zv] where
        xf and yf are the x and y coordinates (local) of the center of fluid when the tank is full. zv is the largest z value
        of all the vertices of the tank.
        The measurement direction is in local z-direction. If the tank is under an angle then this is not perpendicular to the fluid.
        It is possible that this definition returns an ullage larger than the physical tank depth. In that case the physical depth of
        the tank is returned instead.
        "
_Area,force,tuple,"The x,y and z components of the force  ","[kN,kN,kN]",global axis,False,False,False,"The x,y and z components of the force [kN,kN,kN] (global axis)"
_Area,fx,float,The global x-component of the force  ,[kN],global axis,False,False,True,The global x-component of the force [kN] (global axis)
_Area,fy,float,The global y-component of the force   ,[kN],global axis,False,False,True,The global y-component of the force [kN]  (global axis)
_Area,fz,float,The global z-component of the force   ,[kN],global axis,False,False,True,The global z-component of the force [kN]  (global axis)
_Area,A,float,Total area . See also Ae,[m2],,True,True,True,Total area [m2]. See also Ae
_Area,Ae,float,Effective area . This is the projection of the total to the actual wind/current direction. Read only.,[m2],,False,False,True,Effective area [m2]. This is the projection of the total to the actual wind/current direction. Read only.
_Area,Cd,float,Cd coefficient ,[-],,True,True,True,Cd coefficient [-]
_Area,direction,tuple,"Depends on 'areakind'. For 'plane' this is the direction of the normal of the plane, for 'cylindrical' this is",,,True,False,False,"Depends on 'areakind'. For 'plane' this is the direction of the normal of the plane, for 'cylindrical' this is
        the direction of the axis and for 'sphere' this is not used [m,m,m]"
_Area,areakind,AreaKind,Defines how to interpret the area.,,,True,True,False,"Defines how to interpret the area.
        See also: `direction`"
BallastSystem,target_elevation,float,The target elevation of the parent of the ballast system ,[m],,True,True,True,The target elevation of the parent of the ballast system [m]
BallastSystem,cogx,float,X position of combined CoG of all tank contents in the ballast-system.  ,[m],global coordinate,False,False,True,X position of combined CoG of all tank contents in the ballast-system. (global coordinate) [m]
BallastSystem,cogy,float,Y position of combined CoG of all tank contents in the ballast-system.  ,[m],global coordinate,False,False,True,Y position of combined CoG of all tank contents in the ballast-system. (global coordinate) [m]
BallastSystem,cogz,float,Z position of combined CoG of all tank contents in the ballast-system.  ,[m],global coordinate,False,False,True,Z position of combined CoG of all tank contents in the ballast-system. (global coordinate) [m]
BallastSystem,cog,tuple,Combined CoG of all tank contents in the ballast-system.  ,"[m,m,m]",global coordinate,False,False,False,"Combined CoG of all tank contents in the ballast-system. (global coordinate) [m,m,m]"
BallastSystem,weight,float,Total weight of all tank fillings in the ballast system ,[kN],,False,False,True,Total weight of all tank fillings in the ballast system [kN]
